DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
SYN/0058,5.602946,3.620744,3.524852,4.188061,2.340473,3.565185,4.105070,0.000000,0,0.000000,0,0.000000,0,39.515964,1,0.000000,0,0.000000,0,0.000000,0,29.931103,1,32.598676,1,0.000000,0,0.000000,0,79.789224,1,2.741044,33.888053,25.994970,88.081269,26.490012,83.851420,18.696818,81.759514,18.417614,67.128448,29.031625,27.845890,0
SYN/0059,5.215507,2.485913,4.077879,3.695825,2.703402,4.229698,3.814810,96.038111,1,0.000000,0,0.000000,0,38.632251,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,78.796837,1,3.625719,33.571517,26.373416,87.470862,26.738963,84.129250,18.807991,82.031407,19.308976,66.697893,29.630957,27.932049,0
SYN/0060,5.265182,3.630033,4.346601,3.834125,2.687910,3.509314,3.649587,98.595143,1,0.000000,0,31.774873,1,29.559026,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,80.725380,1,3.333729,34.164246,26.264415,87.400237,26.630203,84.275556,18.478563,82.336803,18.771742,66.766721,29.756635,28.687703,0
SYN/0061,4.691228,3.503818,4.294112,3.720315,3.040398,3.418380,3.590856,99.429809,1,0.000000,0,0.000000,0,35.519719,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,84.924740,1,3.349109,33.697845,26.280926,87.634124,26.721051,84.061233,19.198966,81.701891,18.888378,67.376792,29.598011,29.074933,0
SYN/0062,4.720968,2.048340,3.701699,3.782089,2.749585,3.280677,3.275409,101.476849,1,0.000000,0,0.000000,0,37.332433,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,35.167080,1,0.000000,0,82.139063,1,3.414678,33.448139,26.689365,87.590299,26.659208,84.141199,18.797354,81.577926,18.206675,67.021531,29.416949,28.114161,0
SYN/0063,4.836104,2.455816,3.270355,3.404843,2.669321,3.262564,3.186422,100.331219,1,0.000000,0,33.128095,1,32.482622,1,0.000000,0,0.000000,0,53.147020,1,0.000000,0,32.456292,1,30.283778,1,0.000000,0,83.612468,1,3.260298,32.957557,26.863048,87.676998,25.985654,83.985854,19.131562,81.916097,18.646382,67.520265,29.085814,28.260554,0
SYN/0064,4.830403,2.463362,4.002493,3.722440,2.579908,3.213802,3.301748,98.645294,1,0.000000,0,37.220583,1,35.176868,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,28.428682,1,0.000000,0,84.205386,1,3.522627,34.201354,26.286588,87.697227,26.260358,84.094543,18.974680,82.253891,18.895728,67.477734,29.371510,28.400349,0
SYN/0065,5.528233,2.384954,3.597785,3.371369,2.321686,3.298008,3.240754,0.000000,0,0.000000,0,30.697711,1,35.897189,1,0.000000,0,0.000000,0,45.952731,1,36.709939,1,0.000000,0,28.435384,1,0.000000,0,84.903475,1,3.190026,33.681498,26.774163,88.443795,25.987232,83.978487,18.715147,81.744754,18.476725,67.010104,29.035019,28.600513,0
SYN/0066,4.715509,2.392411,3.952319,3.620601,2.425318,3.636343,3.346886,92.778491,1,0.000000,0,0.000000,0,33.126297,1,0.000000,0,0.000000,0,0.000000,0,30.275706,1,27.002565,1,30.110416,1,0.000000,0,75.431065,1,3.409800,33.504222,26.335455,87.355983,26.338139,84.146942,18.927240,82.181437,19.124257,67.011696,29.263153,28.631297,0
SYN/0067,4.900291,2.053579,4.050748,3.706139,2.768560,3.550533,3.140346,97.705779,1,0.000000,0,0.000000,0,35.370718,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,30.702895,1,30.452765,1,0.000000,0,87.557591,1,3.571716,33.645525,26.076732,87.213928,26.974849,83.922956,18.586817,81.988270,18.772942,66.829248,29.308508,28.868813,0
SYN/0068,4.525189,1.749711,4.136368,3.638652,2.416089,2.592337,3.204665,94.890254,1,0.000000,0,0.000000,0,25.474931,1,0.000000,0,0.000000,0,0.000000,0,34.986733,1,33.253759,1,31.652773,1,0.000000,0,78.645662,1,3.515913,33.441506,26.543283,87.836810,26.682536,84.135718,18.346099,81.863356,18.924910,66.772866,29.589382,28.772518,0
SYN/0069,4.884507,1.208803,3.533731,3.965106,2.478560,2.551204,3.664207,98.830876,1,0.000000,0,0.000000,0,37.789953,1,0.000000,0,0.000000,0,0.000000,0,35.786646,1,33.424442,1,0.000000,0,0.000000,0,84.494833,1,3.772477,34.271755,26.174999,87.447780,26.408164,84.052933,18.632994,81.171197,18.669590,67.210807,29.252033,29.080614,0
SYN/0070,4.954013,3.116412,4.078426,3.815281,2.705848,3.660635,3.511188,97.135144,1,0.000000,0,43.937545,1,33.918412,1,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,85.409812,1,3.536518,33.799902,26.129367,87.134248,26.578226,84.189919,18.752538,82.025398,19.630231,67.350358,29.714850,28.753181,0
